facility_id,zipcode,current_slots,x_05,x_512,x_total,tier,expansion_cost
51349,10474,6,0,0,0,cheap,0.0
73544,10017,60,60,0,60,cheap,22000.0
108407,11225,16,0,0,0,cheap,0.0
111953,11226,16,0,0,0,cheap,0.0
126425,10465,12,0,0,0,cheap,0.0
234238,10469,16,0,0,0,cheap,0.0
250057,10473,240,240,0,240,cheap,58000.0
269090,11378,15,0,0,0,cheap,0.0
274852,10460,12,0,0,0,cheap,0.0
333723,11367,16,0,0,0,cheap,0.0
340346,11422,16,0,0,0,cheap,0.0
349917,10452,10,0,0,0,cheap,0.0
386539,10451,12,0,0,0,cheap,0.0
436883,10452,16,0,0,0,cheap,0.0
500895,10473,16,0,0,0,cheap,0.0
503056,10456,16,0,0,0,cheap,0.0
551979,11373,16,0,0,0,cheap,0.0
597006,10460,6,0,0,0,cheap,0.0
620002,11366,16,0,0,0,cheap,0.0
624233,10462,245,294,0,294,expensive,82800.0
641317,10456,16,0,0,0,cheap,0.0
677764,11236,180,216,0,216,expensive,67200.0
689575,10035,40,0,0,0,cheap,0.0
699643,10467,16,0,0,0,cheap,0.0
702394,11374,16,0,0,0,cheap,0.0
708508,11364,16,0,0,0,cheap,0.0
720363,10469,206,247,0,247,expensive,73380.58
749905,10464,40,0,0,0,cheap,0.0
781415,11211,12,0,0,0,cheap,0.0
789544,11218,12,0,0,0,cheap,0.0
791237,11211,284,340,0,340,expensive,91943.66
818672,10038,100,59,0,59,cheap,17700.0
825327,11104,100,82,0,82,cheap,24600.0
826115,10019,62,32,0,32,cheap,11561.29
831636,11205,101,101,0,101,cheap,30200.0
875675,11236,196,235,0,235,expensive,70979.59
885578,10460,10,0,0,0,cheap,0.0
886656,10462,16,0,0,0,cheap,0.0
888739,10474,80,0,0,0,cheap,0.0
894399,11234,100,100,0,100,cheap,30000.0
911887,11385,16,0,0,0,cheap,0.0
794470,11434,8,0,0,0,cheap,0.0
568414,10463,16,0,0,0,cheap,0.0
618944,11233,16,0,0,0,cheap,0.0
840230,11691,16,0,0,0,cheap,0.0
881862,11225,16,0,0,0,cheap,0.0
53014,11208,8,0,0,0,cheap,0.0
172380,10306,16,0,0,0,cheap,0.0
769206,10456,79,79,0,79,cheap,25800.0
267366,11210,16,0,0,0,cheap,0.0
791983,10037,16,0,0,0,cheap,0.0
576262,10473,8,0,0,0,cheap,0.0
74215,10033,152,152,0,152,cheap,40400.0
585734,11220,16,0,0,0,cheap,0.0
607560,10452,16,0,0,0,cheap,0.0
251464,11237,16,0,0,0,cheap,0.0
728553,10473,295,354,0,354,expensive,94800.0
815237,11204,16,0,0,0,cheap,0.0
233516,10457,40,40,0,40,cheap,18000.0
647797,11412,8,0,0,0,cheap,0.0
367235,11233,16,0,0,0,cheap,0.0
867682,10458,14,0,0,0,cheap,0.0
404046,11226,14,0,0,0,cheap,0.0
73477,10002,41,0,0,0,cheap,0.0
794955,11204,16,0,0,0,cheap,0.0
72446,10009,16,0,0,0,cheap,0.0
405628,11416,16,0,0,0,cheap,0.0
216690,11207,16,0,0,0,cheap,0.0
807903,10457,14,0,0,0,cheap,0.0
732829,11411,16,0,0,0,cheap,0.0
449081,11231,16,0,0,0,cheap,0.0
754427,10456,53,53,0,53,cheap,20600.0
434252,10452,7,0,0,0,cheap,0.0
378047,11225,16,0,0,0,cheap,0.0
125354,11385,16,0,0,0,cheap,0.0
573635,10468,16,0,0,0,cheap,0.0
876851,11385,16,0,0,0,cheap,0.0
858758,10457,16,0,0,0,cheap,0.0
71190,10025,16,0,0,0,cheap,0.0
860161,10029,77,77,0,77,cheap,25400.0
774636,10033,16,0,0,0,cheap,0.0
368551,10470,16,16,0,16,cheap,13200.0
853035,10451,8,0,0,0,cheap,0.0
671714,10466,16,0,0,0,cheap,0.0
824922,10303,16,0,0,0,cheap,0.0
593803,10469,16,0,0,0,cheap,0.0
709773,11225,288,345,0,345,expensive,92958.33
232581,10465,200,240,0,240,expensive,72000.0
629294,10452,16,0,0,0,cheap,0.0
72052,11225,16,0,0,0,cheap,0.0
725643,10456,16,0,0,0,cheap,0.0
786035,10453,14,0,0,0,cheap,0.0
527438,10460,16,0,0,0,cheap,0.0
819527,10469,16,0,0,0,cheap,0.0
245090,11218,16,0,0,0,cheap,0.0
59615,11205,8,0,0,0,cheap,0.0
693176,10451,16,0,0,0,cheap,0.0
115986,10033,16,0,0,0,cheap,0.0
848494,11691,16,0,0,0,cheap,0.0
851783,11694,39,38,0,38,cheap,17343.59
876491,10453,8,0,0,0,cheap,0.0
