zipcode,demand,total_deficit,under5_deficit,new_facs_S,new_facs_M,new_facs_L,total_new_facs,new_slots_total,n_05,n_512,exp_slots_05,exp_slots_512
10001,Normal,58,496,0,0,0,0,0,0,0,496,0
10002,High,0,1410,0,0,0,0,0,0,0,1410,0
10003,Normal,0,960,0,0,0,0,0,0,0,960,0
10004,Normal,0,289,0,0,0,0,0,0,0,289,0
10005,High,362,323,0,1,1,2,600,300,0,23,0
10006,High,0,72,0,0,0,0,0,0,0,72,0
10007,Normal,117,404,0,0,1,1,400,200,0,204,0
10009,Normal,0,1246,0,0,0,0,0,0,0,1246,0
10010,Normal,929,948,0,0,4,4,1600,800,0,148,0
10011,Normal,0,764,0,0,0,0,0,0,0,764,0
10012,Normal,302,409,0,0,2,2,800,400,0,9,0
10013,Normal,580,833,0,0,2,2,800,400,0,433,0
10014,High,0,401,0,0,0,0,0,0,0,401,0
10016,Normal,432,1199,0,0,2,2,800,400,0,799,0
10017,High,97,129,0,0,0,0,0,0,0,129,0
10018,High,261,162,0,0,1,1,400,162,0,0,0
10019,High,433,733,0,0,1,1,400,200,0,533,0
10021,Normal,910,1192,0,0,4,4,1600,800,0,392,0
10022,Normal,882,819,0,0,4,4,1600,800,0,19,0
10023,Normal,1262,2366,0,0,6,6,2400,1200,0,1166,0
10024,Normal,1614,2799,0,0,9,9,3600,1800,0,999,0
10025,Normal,718,2909,0,0,3,3,1200,600,0,2309,0
10026,Normal,49,1464,0,0,1,1,400,200,0,1264,0
10027,Normal,0,2424,0,0,0,0,0,0,0,2424,0
10028,Normal,1229,1110,0,0,4,4,1600,800,0,310,0
10029,High,1275,2644,0,0,0,0,0,0,0,2644,0
10030,High,764,1248,0,0,1,1,400,200,0,1048,0
10031,High,1606,1573,0,0,3,3,1200,600,0,973,0
10032,High,0,1492,0,0,0,0,0,0,0,1492,0
10033,High,595,2138,0,0,1,1,400,200,0,1938,0
10034,High,0,1744,0,0,0,0,0,0,0,1744,0
10035,High,665,1588,0,0,0,0,0,0,0,1588,0
10036,Normal,0,423,0,0,0,0,0,0,0,423,0
10037,High,650,693,0,0,1,1,400,200,0,493,0
10038,Normal,0,495,0,0,0,0,0,0,0,495,0
10039,High,797,1266,0,0,0,0,0,0,0,1266,0
10040,High,133,1314,0,0,0,0,0,0,0,1314,0
10044,Normal,79,626,0,0,1,1,400,200,0,426,0
10065,Normal,489,1447,0,0,3,3,1200,600,0,847,0
10069,Normal,395,460,1,0,2,3,900,450,0,10,0
10075,Normal,579,829,0,0,3,3,1200,600,0,229,0
10128,Normal,1525,1861,0,0,8,8,3200,1600,0,261,0
10162,Normal,51,90,0,1,0,1,200,90,0,0,0
10280,Normal,0,212,0,0,0,0,0,0,0,212,0
10282,Normal,148,279,0,0,0,0,0,0,0,279,0
10301,Normal,71,1844,0,0,1,1,400,200,0,1644,0
10302,High,853,892,0,0,2,2,800,400,0,492,0
10303,High,413,842,0,0,0,0,0,0,0,842,0
10304,Normal,190,1449,0,0,0,0,0,0,0,1449,0
10305,Normal,894,1102,0,0,3,3,1200,600,0,502,0
10306,Normal,1928,1738,0,0,7,7,2800,1400,0,338,0
10307,Normal,444,732,0,0,3,3,1200,600,0,132,0
10308,Normal,800,738,0,0,2,2,800,400,0,338,0
10309,Normal,1406,1291,0,0,5,5,2000,1000,0,291,0
10310,Normal,357,1445,0,0,3,3,1200,600,0,845,0
10312,Normal,2108,2438,0,0,7,7,2800,1400,0,1038,0
10314,Normal,2846,3513,0,0,12,12,4800,2400,0,1113,0
10451,High,1154,2330,0,0,1,1,400,200,0,2130,0
10452,High,401,3641,0,0,0,0,0,0,0,3641,0
10453,High,652,3651,0,0,0,0,0,0,0,3651,0
10454,High,631,1914,0,0,0,0,0,0,0,1914,0
10455,High,1036,1672,0,0,0,0,0,0,0,1672,0
10456,High,1214,4479,0,0,0,0,0,0,0,4479,0
10457,High,1728,4524,0,0,3,3,1200,600,0,3924,0
10458,High,2839,3724,0,0,10,10,4000,2000,0,1724,0
10459,High,713,2649,0,0,1,1,400,200,0,2449,0
10460,High,353,2656,0,0,0,0,0,0,0,2656,0
10461,High,2332,1834,0,0,4,4,1600,800,0,1034,0
10462,High,2978,3721,0,0,8,8,3200,1600,0,2121,0
10463,Normal,0,2969,0,0,0,0,0,0,0,2969,0
10464,Normal,53,50,0,0,0,0,0,0,0,50,3
10465,Normal,413,2179,0,0,5,5,2000,1000,0,1179,0
10466,High,2513,2929,0,0,6,6,2400,1200,0,1729,0
10467,High,1979,4228,0,0,2,2,800,400,0,3828,0
10468,High,3211,4448,0,0,16,16,6400,3200,0,1248,0
10469,High,2965,2989,0,0,9,9,3600,1800,0,1189,0
10470,High,423,874,0,0,2,2,800,400,0,474,0
10471,Normal,513,677,0,0,3,3,1200,600,0,77,0
10472,High,2396,3548,0,0,8,8,3200,1600,0,1948,0
10473,High,1082,2495,0,0,0,0,0,0,0,2495,0
10474,High,69,668,0,0,0,0,0,0,0,668,0
